Valid Path,Path Number,Destination Coordinate,Destination Index,Fusion Lineage(s),Final Glyph(s),,
aaiuui,241,"(2, 2, 2)",26,"AiUi, Ayuwi, aeUi, aeuwi","AiUi, Ayuwi, aeUi, aeuwi",,
uiuaia,242,"(2, 2, 2)",26,"uyuaya, uyuea, wiwaya, wiwea","uyuaya, uyuea, wiwaya, wiwea",,
uaiiau,243,"(2, 2, 2)",26,"waIo, waiyau, waiyo, weyau, weyo","waIo, waiyau, waiyo, weyau, weyo",,
iauiua,244,"(2, 2, 2)",26,"yauyua, yawiwa, yoiwa, yoyua","yauyua, yawiwa, yoiwa, yoyua",,
uuiaai,245,"(2, 2, 2)",26,"UiAi, Uyae, uwiAi, uwiae","UiAi, Uyae, uwiAi, uwiae",,
iauaui,246,"(2, 2, 2)",26,"iOi, yawawi, yawoi, yoawi, yooi","iOi, yawawi, yawoi, yoawi, yooi",,
iauuia,247,"(2, 2, 2)",26,"yaUya, yauwia, youya, yowia","yaUya, yauwia, youya, yowia",,
iuaaiu,248,"(2, 2, 2)",26,"iwaayu, iwaeu, yuAyu, yuaeu","iwaayu, iwaeu, yuAyu, yuaeu",,
uauiai,249,"(2, 2, 2)",26,"wauyai, wauye, wawie, woyai, woye","wauyai, wauye, wawie, woyai, woye",,
uiaiua,250,"(2, 2, 2)",26,"uyaiwa, uyayua, uyewa, wiayua, wiewa","uyaiwa, uyayua, uyewa, wiayua, wiewa",,
iuuaia,251,"(2, 2, 2)",26,"iUaya, iUea, yuwaya, yuwea","iUaya, iUea, yuwaya, yuwea",,
uiauia,252,"(2, 2, 2)",26,"uyauya, uyawia, uyoya, wiawia, wioya","uyauya, uyawia, uyoya, wiawia, wioya",,
iuaiua,253,"(2, 2, 2)",26,"iwaiwa, iwayua, iwewa, yuayua, yuewa","iwaiwa, iwayua, iwewa, yuayua, yuewa",,
iuauia,254,"(2, 2, 2)",26,"iwauya, iwawia, iwoya, yuawia, yuoya","iwauya, iwawia, iwoya, yuawia, yuoya",,
iauaiu,255,"(2, 2, 2)",26,"yawayu, yaweu, yoayu, yoeu","yawayu, yaweu, yoayu, yoeu",,
uaaiiu,256,"(2, 2, 2)",26,"uAIu, uAiyu, waaIu, waeyu","uAIu, uAiyu, waaIu, waeyu",,
aaiuiu,257,"(2, 2, 2)",26,"Aiwiu, Ayuyu, aeuyu, aewiu","Aiwiu, Ayuyu, aeuyu, aewiu",,
auiuia,258,"(2, 2, 2)",26,"awiuya, awiwia, oiwia, oyuya","awiuya, awiwia, oiwia, oyuya",,
aiuiau,259,"(2, 2, 2)",26,"ayuyau, ayuyo, euyau, euyo, ewio","ayuyau, ayuyo, euyau, euyo, ewio",,
aiiauu,260,"(2, 2, 2)",26,"aIaU, aIou, eyaU, eyou","aIaU, aIou, eyaU, eyou",,
auiiau,261,"(2, 2, 2)",26,"awiyau, awiyo, oIo, oiyau, oiyo","awiyau, awiyo, oIo, oiyau, oiyo",,
aiuaiu,262,"(2, 2, 2)",26,"ayuayu, ayueu, ewayu, eweu","ayuayu, ayueu, ewayu, eweu",,
aauiui,263,"(2, 2, 2)",26,"Auyui, Awiwi, aoiwi, aoyui","Auyui, Awiwi, aoiwi, aoyui",,
uiaaiu,264,"(2, 2, 2)",26,"uyaayu, uyaeu, wiAyu, wiaeu","uyaayu, uyaeu, wiAyu, wiaeu",,
auauii,265,"(2, 2, 2)",26,"OI, awauI, awawii, awoI, oawii","OI, awauI, awawii, awoI, oawii",,
aiaiuu,266,"(2, 2, 2)",26,"EU, ayaiU, ayayuu, ayeU, eayuu","EU, ayaiU, ayayuu, ayeU, eayuu",,
